#,Question,Option A,Option B,Option C,Option D,Correct Answer
225,Sievert (Sv) measures:,Photon energy,Radioactivity,Equivalent/effective dose,Absorbed dose,C) Equivalent/effective dose
226,The process of destroying cancer cells with the help of radiation is ________,Uroplasty,Radiotherapy,Physiotherapy,Rehabilitation,B) Radiotherapy
227,Stochastic effects of radiation include:,Cancer risk,Hair loss,Deterministic injury,Skin burn,A) Cancer risk
228,"In diffusion-weighted MRI, restricted diffusion indicates:",Fatty liver,Hemorrhage,Ischemic stroke,Tumor,C) Ischemic stroke
229,Myocardial perfusion imaging shows:,Muscle strength,Blood flow distribution,ECG intervals,Heart anatomy,B) Blood flow distribution
230,Gamma camera in nuclear medicine detects:,Beta particles,Neutrons,Gamma rays,Alpha particles,C) Gamma rays
231,Gradient coils in MRI are used for:,Spatial encoding of signal,Producing main magnetic field,Radiofrequency pulse,Cooling,A) Spatial encoding of signal
232,Which phenomenon helps ultrasound to image internal body structures?,Dispersion,Diffraction,Reflection,Refraction,C) Reflection
233,"In electrophysiology, ECG measures:",Mechanical activity of the heart,Electrical activity of the heart,Blood pressure,Blood flow,B) Electrical activity of the heart
234,T wave in ECG represents:,Atrial repolarization,Ventricular repolarization,Ventricular depolarization,Atrial depolarization,B) Ventricular repolarization
235,SONAR is abbreviation of,Small navigation and random,Sky navigation and ranging,Sound navigation and ranging,Sun nuclear ranging,C) Sound navigation and ranging
236,QRS complex in ECG represents:,Ventricular depolarization,Atrial repolarization,Ventricular repolarization,Atrial depolarization,A) Ventricular depolarization
237,MRI T2* images are sensitive to:,Water content,X-rays,Fat only,Magnetic susceptibility,D) Magnetic susceptibility
238,Brachytherapy involves:,MRI-guided surgery,External radiation,Ultrasound therapy,Internal radiation,D) Internal radiation
239,The pitch in CT scanning defines:,X-ray wavelength,MRI signal,Table movement per rotation relative to slice thickness,Ultrasound frequency,C) Table movement per rotation relative to slice thickness
240,fMRI temporal resolution depends on:,Field strength,TE only,TR (repetition time),Voxel size,C) TR (repetition time)
241,ECG electrodes should be placed on:,Only limbs,Chest and limbs,Forehead,Only chest,B) Chest and limbs
242,If proteins are separated according to their electrophoretic mobility then the type of electrophoresis is:,Free flow electrophoresis,Electro focusing,Affinity Electrophoresis,SDS PAGE,A) Free flow electrophoresis
243,Thermoluminescent dosimeters (TLD) measure:,Ultrasound intensity,Electrical signals,Radiation dose,Blood flow,C) Radiation dose
244,"In ultrasound imaging, B-mode represents:",Brightness,Bulk modulus,Bone density,Blood velocity,A) Brightness
245,Linear energy transfer (LET) is:,Doppler frequency,X-ray tube voltage,Energy deposited per unit distance,Magnetic field gradient,C) Energy deposited per unit distance
246,Which technique separates charged particles using electric field?,Protein denaturing,Electrophoresis,Protein synthesis,Hydrolysis,B) Electrophoresis
247,Coherent scattering is also called:,Photoelectric effect,Rayleigh scattering,Pair production,Compton scattering,B) Rayleigh scattering
248,Photoelectric effect increases with:,Low atomic number,Low photon energy,Both b and c,High atomic number,C) Both b and c
249,"In ultrasound imaging, A-mode represents:",Area vs volume,Amplitude vs time,Angle vs distance,Amplitude vs frequency,B) Amplitude vs time
250,T1-weighted MRI images highlight:,Air,Water,Fat,Metal,C) Fat
251,"In a hypothetical radioactive material, the total number of active photons are 20000 and the decay constant is found out to be 4.916 × 10⁻¹⁷ per second. How much of the material will be left in 100 years?",123.99999,19.999999,"19,999.9999",1589.99999,"C) 19,999.9999"
252,The electric field will,Converge onto substance with high dielectric constant,Converge onto substance with low dielectric constant,Diverge within substances with low dielectric constant,Diverge within substances with high dielectric constant,A) Converge onto substance with high dielectric constant
253,Doppler echocardiography measures:,Blood flow velocity,Oxygen saturation,Bone density,Heart rhythm only,A) Blood flow velocity
254,Resting membrane potential is typically:,0 mV,+70 mV,-100 mV,-70 mV,D) -70 mV
255,Pulse oximetry measures:,Heart rate only,Oxygen saturation,Blood sugar,Blood pressure,B) Oxygen saturation
256,"In EEG, alpha rhythm is predominant in:",Deep sleep,Relaxed wakefulness with eyes closed,Drowsiness,Alert mental activity,B) Relaxed wakefulness with eyes closed
257,Ionizing radiation can cause:,Hair loss only,Muscle fatigue,DNA damage,Bone fracture,C) DNA damage
258,"Sounds of frequency higher than 20,000 Hz which are inaudible to normal human ear are called",Frequency,Amplitude,Noise,Ultrasonics,D) Ultrasonics
259,Bioimpedance is used to estimate:,Heart rhythm,Muscle activity,"Body composition, especially fat and water",Blood pressure,"C) Body composition, especially fat and water"
260,The main contrast in MRI comes from:,Electron density,Electrical conductivity,Proton density and relaxation times,Gamma rays,C) Proton density and relaxation times
261,Noise in CT can be reduced by:,Decreasing kVp,Increasing mA,Using ultrasound,Using MRI coils,B) Increasing mA
262,The speed of migration of ions in electric field depends upon:,"Magnitude of charge, shape and mass of molecule",Magnitude of charge and mass of molecule,Magnitude of charge and shape of molecule,Shape and size of molecule,"A) Magnitude of charge, shape and mass of molecule"
263,Nerve conduction studies measure:,EEG frequency,Muscle contraction strength,Conduction velocity of peripheral nerves,Blood flow,C) Conduction velocity of peripheral nerves
264,Gamma cameras use:,Electrodes,Scintillation detectors,Piezoelectric crystals,RF coils,B) Scintillation detectors
265,Pulse Doppler in ultrasound gives:,X-ray intensity,Image brightness,Global average only,Location-specific velocity,D) Location-specific velocity
266,A piezoelectric crystal is used to produce the ultrasound waves. What kind of ultrasound is produced?,Electrical wave ultrasound,Sound wave ultrasound,Pressure wave ultrasound,Simple ultrasound,C) Pressure wave ultrasound
267,Electrical impedance tomography (EIT) images:,Brain activity,Heart valves,Bone density,Lung ventilation,D) Lung ventilation
268,High LET radiation includes:,Ultrasound,Gamma rays,X-rays,Alpha particles,D) Alpha particles
269,Cryogenic cooling in MRI is used for:,RF coils,Gradient,Superconducting magnet,Patient cooling,C) Superconducting magnet
270,RF coils in MRI:,Provide magnetic shielding,Measure X-rays,Produce gradient,Detect and transmit RF signal,D) Detect and transmit RF signal
271,PET imaging requires:,High-frequency sound,X-ray filtration,Gamma rays only,Positron-emitting radiotracers,D) Positron-emitting radiotracers
272,Lead shielding in X-ray rooms is used to:,Focus X-rays,Protect patients and staff from radiation,Enhance image quality,Reduce noise,B) Protect patients and staff from radiation
273,Radiopharmaceutical ^131I is used for:,Cardiac perfusion,PET oncology,Thyroid imaging,Bone scan,C) Thyroid imaging
274,PET tracers commonly include:,^18F-FDG,Barium,Iodine,Gadolinium,A) ^18F-FDG
275,Optically stimulated luminescent (OSL) dosimeters:,Use heat,Use light for readout,Measure current,Detect ultrasound,B) Use light for readout
276,The energy required to remove an electron from an atom is called:,Kinetic energy,Thermal energy,Potential energy,Binding energy,D) Binding energy
277,Which of the diathermy machine is good for deep tissue healing?,Cold compress,Ultrasound,Short wave,Electrical impulse,C) Short wave
278,Bundle branch block affects:,Purkinje fibers only,SA node,Ventricular conduction pathways,AV node,C) Ventricular conduction pathways
279,Superconducting magnets in MRI require:,Room temperature,Cryogenic cooling,X-ray shielding,Ultrasound gel,B) Cryogenic cooling
280,Functional MRI (fMRI) detects:,Blood oxygen level-dependent (BOLD) signal,X-ray attenuation,Tissue density,Ultrasound reflection,A) Blood oxygen level-dependent (BOLD) signal
281,Functional MRI (fMRI) measures:,Electrical activity directly,Tissue density,Radiation dose,Blood oxygenation changes,D) Blood oxygenation changes
282,MRI gradient switching may cause:,Peripheral nerve stimulation,Radiation,Nausea,Ultrasound reflection,A) Peripheral nerve stimulation
283,The energy of diagnostic X-rays is typically measured in:,Joules,Electronvolts (eV),Megaelectronvolts (MeV),Kiloelectronvolts (keV),D) Kiloelectronvolts (keV)
284,With what energy must the radiation be given to image a bone of thickness 5 cm which has covering of skin of thickness of 2 cm on both sides and the emerging intensity of the X-ray is 200 MeV?,2000e9,20/e,200e(4s + 5B),2e,C) 200e(4s + 5B)
285,Nerve conduction velocity (NCV) is measured in:,Hz,m/s,V,Ohms,B) m/s
286,"In ultrasound, attenuation increases with:",Increasing frequency,Decreasing frequency,Increasing wavelength,Decreasing intensity,A) Increasing frequency
287,MRI relaxation times are:,T1 (spin-lattice) and T2 (spin-spin),Alpha and Beta,Gamma and Delta,Delta and Omega,A) T1 (spin-lattice) and T2 (spin-spin)
288,Which of the following medical imaging modality other than ultrasound does not use any form of radiation?,MRI,SPECT Scan,PET Scan,CT Scan,A) MRI
289,A low dielectric constant & conductivity is to,"High water content, muscle, nerve, blood vessels, internal organs & moist skin",All of the above,None of the above,"Low water content, bone, capsule, ligaments, fat, dry skin","D) Low water content, bone, capsule, ligaments, fat, dry skin"
290,A high dielectric constant & conductivity is to,All of the above,"High water content, muscle, nerve, blood vessels, internal organs & moist skin",None of the above,"Low water content, bone, capsule, ligaments, fat, dry skin","B) High water content, muscle, nerve, blood vessels, internal organs & moist skin"
291,SPECT uses:,Coincidence detection,Single gamma detection,Ultrasound,RF pulses,B) Single gamma detection
292,Wavelength of ultrasonic waves is,Greater than light wave,Equal to audible sound,Less than audible sound,More than audible sound,C) Less than audible sound
293,SPECT tracer Tc-99m decays by:,Gamma emission,Positron emission,Alpha emission,Beta emission,A) Gamma emission
294,Which of the following ultrasound type is used for deep tissue imaging?,High frequency ultrasound,Very high frequency ultrasound,Audible frequency ultrasound,Low frequency ultrasound,D) Low frequency ultrasound
295,The unit of equivalent dose in SI is:,Roentgen,Sievert,Curie,Gray,B) Sievert
296,CT contrast media are often based on:,Silicon,Gadolinium,Iodine,Barium,C) Iodine
297,Augmented limb leads are:,"aVR, aVL, aVF",None,V1–V6,"I, II, III","A) aVR, aVL, aVF"
298,T-wave inversion may indicate:,Muscle activity,Artifact,Normal ECG,Ischemia,D) Ischemia
299,"If the half-life is found to be 100 msec, what is the decay constant?",59875.2 per day,693 per second,0.1155 per minute,24948 per hour,B) 693 per second
300,Piezoelectric materials in ultrasound transducers are often made of:,Quartz,Copper,Silicon,Iron,A) Quartz
